ano,mes,cambio_venda,ativo_total,credito_emprestimos_titulos,credito_financiamentos,credito_outras_operacoes,credito_total,passivo_total,exportação_fob,importação_fob,exportação_kg,importação_kg
2015,1,2.6623,34834306578.0,2571444465.0,304829194.0,78318169.0,10020705170.0,34834306578.0,3559135917.0,4610173425.0,4703619569.0,1970297486.0
2015,2,2.8782,32939108930.0,2571863585.0,306515589.0,77453579.0,7849779419.0,32939108930.0,3151946642.0,3918597777.0,2776367769.0,1637549267.0
2015,3,3.208,33637792809.0,2581876833.0,309676630.0,77760110.0,7993315399.0,33637792809.0,5252620603.0,4790110971.0,6534974847.0,2197364466.0
2015,4,2.9936,36986736088.0,2579873636.0,306669262.0,75892847.0,11885953520.0,36986736088.0,3194953969.0,4191985141.0,2576431439.0,1696600578.0
2015,5,3.1788,34740936348.0,2581428956.0,307947174.0,74945960.0,9573599345.0,34740936348.0,5000342264.0,4075542938.0,7159525999.0,1740345552.0
2015,6,3.1026,35008530453.0,2586722717.0,323373374.0,73556825.0,9951084011.0,35008530453.0,5131404053.0,4347426084.0,7215884325.0,1758824209.0
2015,7,3.394,34552989063.0,2564214830.0,315750570.0,72443251.0,9506117256.0,34552989063.0,5000421160.0,4690963957.0,7312210653.0,1953685990.0
2015,8,3.6467,40423008979.0,2621678378.0,313899587.0,72089557.0,9578317323.0,40423008979.0,3687110315.0,4035880176.0,4567742196.0,1789129457.0
2015,9,3.9729,43613405011.0,2587638598.0,313419030.0,78328346.0,12317266864.0,43613405011.0,3534112594.0,3766620664.0,4650989303.0,1760231309.0
2015,10,3.8589,42160248778.0,2556109104.0,308769559.0,77573957.0,10091171025.0,42160248778.0,4637382610.0,4072071078.0,7713324559.0,1764322522.0
2015,11,3.8506,42141730941.0,2608318689.0,242226160.0,76660117.0,11482923407.0,42141730941.0,3952152682.0,3435637740.0,6412234975.0,1794281159.0
2015,12,3.9048,38926603506.0,2513602017.0,331493891.0,77849145.0,9763780032.0,38926603506.0,4555843581.0,2825316578.0,7554072811.0,1600156758.0
2016,1,4.0428,44417404847.0,2508906146.0,333585081.0,77357105.0,10725794302.0,44417404847.0,2928585285.0,3117833608.0,4335357243.0,1544606147.0
