data;valor
01/01/2015;2,6623
01/02/2015;2,8782
01/03/2015;3,208
01/04/2015;2,9936
01/05/2015;3,1788
01/06/2015;3,1026
01/07/2015;3,394
01/08/2015;3,6467
01/09/2015;3,9729
01/10/2015;3,8589
01/11/2015;3,8506
01/12/2015;3,9048
01/01/2016;4,0428
01/02/2016;3,9796
01/03/2016;3,5589
01/04/2016;3,4508
01/05/2016;3,5951
01/06/2016;3,2098
01/07/2016;3,239
01/08/2016;3,2403
01/09/2016;3,2462
01/10/2016;3,1811
01/11/2016;3,3967
01/12/2016;3,2591
01/01/2017;3,127
01/02/2017;3,0993
01/03/2017;3,1684
01/04/2017;3,1984
01/05/2017;3,2437
01/06/2017;3,3082
01/07/2017;3,1307
01/08/2017;3,1471
01/09/2017;3,168
01/10/2017;3,2769
01/11/2017;3,2616
01/12/2017;3,308
01/01/2018;3,1624
01/02/2018;3,2449
01/03/2018;3,3238
01/04/2018;3,4811
01/05/2018;3,737
01/06/2018;3,8558
01/07/2018;3,7549
01/08/2018;4,1353
01/09/2018;4,0039
01/10/2018;3,7177
01/11/2018;3,8633
01/12/2018;3,8748
01/01/2019;3,6519
01/02/2019;3,7385
01/03/2019;3,8967
01/04/2019;3,9453
01/05/2019;3,9407
01/06/2019;3,8322
01/07/2019;3,7649
01/08/2019;4,1385
01/09/2019;4,1644
01/10/2019;4,0041
01/11/2019;4,224
01/12/2019;4,0307
01/01/2020;4,2695
01/02/2020;4,4987
01/03/2020;5,1987
01/04/2020;5,427
01/05/2020;5,4263
01/06/2020;5,476
01/07/2020;5,2033
01/08/2020;5,4713
01/09/2020;5,6407
01/10/2020;5,7718
01/11/2020;5,3317
01/12/2020;5,1967
01/01/2021;5,4759
01/02/2021;5,5302
01/03/2021;5,6973
01/04/2021;5,4036
01/05/2021;5,2322
01/06/2021;5,0022
01/07/2021;5,1216
01/08/2021;5,1433
01/09/2021;5,4394
01/10/2021;5,643
01/11/2021;5,6199
01/12/2021;5,5805
01/01/2022;5,3574
01/02/2022;5,1394
01/03/2022;4,7378
01/04/2022;4,9191
01/05/2022;4,7289
01/06/2022;5,238
01/07/2022;5,1884
01/08/2022;5,179
01/09/2022;5,4066
01/10/2022;5,257
01/11/2022;5,2941
01/12/2022;5,2177
01/01/2023;5,0993
01/02/2023;5,2078
01/03/2023;5,0804
01/04/2023;5,0007
01/05/2023;5,0959
01/06/2023;4,8192
01/07/2023;4,7415
01/08/2023;4,9219
01/09/2023;5,0076
01/10/2023;5,0575
01/11/2023;4,9355
01/12/2023;4,8413
01/01/2024;4,9535
01/02/2024;4,9833
01/03/2024;4,9962
01/04/2024;5,1718
01/05/2024;5,2416
01/06/2024;5,5589
01/07/2024;5,6621
01/08/2024;5,6562
01/09/2024;5,4481
01/10/2024;5,7779
01/11/2024;6,0535
01/12/2024;6,1923
01/01/2025;5,8301
01/02/2025;5,8488
01/03/2025;5,7422
01/04/2025;5,6608
01/05/2025;5,7087
01/06/2025;5,4571
01/07/2025;5,6021
01/08/2025;5,4264
01/09/2025;5,3186
01/10/2025;5,3843
01/11/2025;5,3338
01/12/2025;5,5024
01/01/2026;5,2301
01/02/2026;5,1495
01/03/2026;5,2194
01/04/2026;4,9886
01/05/2026;5,0569
01/06/2026;5,1766
01/07/2026;5,0773
