ano,mes,total_agencias_santos
2015,1,108
2015,2,108
2015,3,108
2015,4,108
2015,5,107
2015,6,107
2015,7,107
2015,8,107
2015,9,107
2015,10,107
2015,11,107
2015,12,107
2016,1,106
2016,2,106
2016,3,105
2016,4,105
2016,5,104
2016,6,105
2016,7,105
2016,8,105
2016,9,105
2016,10,105
2016,11,105
2016,12,105
2017,1,102
2017,2,101
2017,3,100
2017,4,100
2017,5,100
2017,6,100
2017,7,100
2017,8,100
2017,9,99
2017,10,99
2017,11,99
2017,12,98
2018,1,98
2018,2,98
2018,3,99
2018,4,99
2018,5,99
2018,6,99
2018,7,99
2018,8,97
2018,9,96
2018,10,96
2018,11,96
2018,12,96
2019,1,96
2019,2,96
2019,3,96
2019,4,96
2019,5,94
2019,6,93
2019,7,93
2019,8,92
2019,9,91
2019,10,91
2019,11,89
2019,12,89
2020,1,89
2020,2,89
2020,3,89
2020,4,90
2020,5,82
2020,6,82
2020,7,82
2020,8,83
2020,9,81
2020,10,81
2020,11,79
2020,12,79
2021,1,79
2021,2,79
2021,3,78
2021,4,77
2021,5,76
2021,6,76
2021,7,73
2021,8,72
2021,9,72
2021,10,71
2021,11,71
2021,12,70
2022,1,70
2022,2,70
2022,3,70
2022,4,70
2022,5,70
2022,6,70
2022,7,70
2022,8,70
2022,9,68
2022,10,69
2022,11,69
2022,12,68
2023,1,68
2023,2,68
2023,3,67
2023,4,67
2023,5,67
2023,6,67
2023,7,67
2023,8,66
2023,9,65
2023,10,66
2023,11,67
2023,12,66
2024,1,66
2024,2,66
2024,3,66
2024,4,65
2024,5,65
2024,6,65
2024,7,65
2024,8,63
2024,9,63
2024,10,62
2024,11,62
2024,12,62
2025,1,62
2025,2,53
2025,3,35
2025,4,35
2025,5,52
2025,6,59
2025,7,47
2025,8,59
2025,9,51
