ano,mes,cnpj_basico,instituicao,agencias_processadas
2015,1,00416968,BANCO INTER,1
2015,1,33884941,BANIF BRASIL BM S.A.,1
2015,1,60746948,BCO BRADESCO S.A.,24
2015,1,07450604,BCO CCB BRASIL S.A.,1
2015,1,33479023,BCO CITIBANK S.A.,1
2015,1,00000000,BCO DO BRASIL S.A.,18
2015,1,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2015,1,58160789,BCO SAFRA S.A.,1
2015,1,90400888,BCO SANTANDER (BRASIL) S.A.,18
2015,1,00360305,CAIXA ECONOMICA FEDERAL,14
2015,1,60701190,ITAÚ UNIBANCO S.A.,24
2015,1,01701201,KIRTON BANK,4
2015,2,00416968,BANCO INTER,1
2015,2,33884941,BANIF BRASIL BM S.A.,1
2015,2,60746948,BCO BRADESCO S.A.,24
2015,2,07450604,BCO CCB BRASIL S.A.,1
2015,2,33479023,BCO CITIBANK S.A.,1
2015,2,00000000,BCO DO BRASIL S.A.,18
2015,2,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2015,2,58160789,BCO SAFRA S.A.,1
2015,2,90400888,BCO SANTANDER (BRASIL) S.A.,18
2015,2,00360305,CAIXA ECONOMICA FEDERAL,14
2015,2,60701190,ITAÚ UNIBANCO S.A.,24
2015,2,01701201,KIRTON BANK,4
2015,3,00416968,BANCO INTER,1
2015,3,33884941,BANIF BRASIL BM S.A.,1
2015,3,60746948,BCO BRADESCO S.A.,24
2015,3,07450604,BCO CCB BRASIL S.A.,1
2015,3,33479023,BCO CITIBANK S.A.,1
2015,3,00000000,BCO DO BRASIL S.A.,18
2015,3,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2015,3,58160789,BCO SAFRA S.A.,1
2015,3,90400888,BCO SANTANDER (BRASIL) S.A.,18
2015,3,00360305,CAIXA ECONOMICA FEDERAL,14
2015,3,60701190,ITAÚ UNIBANCO S.A.,24
2015,3,01701201,KIRTON BANK,4
2015,4,00416968,BANCO INTER,1
2015,4,33884941,BANIF BRASIL BM S.A.,1
2015,4,60746948,BCO BRADESCO S.A.,24
2015,4,07450604,BCO CCB BRASIL S.A.,1
2015,4,33479023,BCO CITIBANK S.A.,1
2015,4,00000000,BCO DO BRASIL S.A.,18
2015,4,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2015,4,58160789,BCO SAFRA S.A.,1
2015,4,90400888,BCO SANTANDER (BRASIL) S.A.,18
2015,4,00360305,CAIXA ECONOMICA FEDERAL,14
2015,4,60701190,ITAÚ UNIBANCO S.A.,24
2015,4,01701201,KIRTON BANK,4
2015,5,00416968,BANCO INTER,1
2015,5,60746948,BCO BRADESCO S.A.,24
2015,5,07450604,BCO CCB BRASIL S.A.,1
2015,5,33479023,BCO CITIBANK S.A.,1
2015,5,00000000,BCO DO BRASIL S.A.,18
2015,5,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2015,5,58160789,BCO SAFRA S.A.,1
2015,5,90400888,BCO SANTANDER (BRASIL) S.A.,18
2015,5,00360305,CAIXA ECONOMICA FEDERAL,14
2015,5,60701190,ITAÚ UNIBANCO S.A.,24
2015,5,01701201,KIRTON BANK,4
2015,6,00416968,BANCO INTER,1
2015,6,60746948,BCO BRADESCO S.A.,24
2015,6,07450604,BCO CCB BRASIL S.A.,1
2015,6,33479023,BCO CITIBANK S.A.,1
2015,6,00000000,BCO DO BRASIL S.A.,18
2015,6,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2015,6,58160789,BCO SAFRA S.A.,1
2015,6,90400888,BCO SANTANDER (BRASIL) S.A.,18
2015,6,00360305,CAIXA ECONOMICA FEDERAL,14
2015,6,60701190,ITAÚ UNIBANCO S.A.,24
2015,6,01701201,KIRTON BANK,4
2015,7,00416968,BANCO INTER,1
2015,7,60746948,BCO BRADESCO S.A.,24
2015,7,07450604,BCO CCB BRASIL S.A.,1
2015,7,33479023,BCO CITIBANK S.A.,1
2015,7,00000000,BCO DO BRASIL S.A.,18
2015,7,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2015,7,58160789,BCO SAFRA S.A.,1
2015,7,90400888,BCO SANTANDER (BRASIL) S.A.,18
2015,7,00360305,CAIXA ECONOMICA FEDERAL,14
2015,7,60701190,ITAÚ UNIBANCO S.A.,24
2015,7,01701201,KIRTON BANK,4
2015,8,00416968,BANCO INTER,1
2015,8,60746948,BCO BRADESCO S.A.,24
2015,8,07450604,BCO CCB BRASIL S.A.,1
2015,8,33479023,BCO CITIBANK S.A.,1
2015,8,00000000,BCO DO BRASIL S.A.,18
2015,8,17184037,BCO MERCANTIL DO BRASIL S.A.,1
2015,8,58160789,BCO SAFRA S.A.,1
