mes,cnpj_basico,instituicao,agencias_processadas
2,00000000,BCO DO BRASIL S.A.,12
3,00000000,BCO DO BRASIL S.A.,12
4,00000000,BCO DO BRASIL S.A.,12
5,00000000,BCO DO BRASIL S.A.,12
6,00000000,BCO DO BRASIL S.A.,12
7,00000000,BCO DO BRASIL S.A.,0
8,00000000,BCO DO BRASIL S.A.,12
2,00360305,CAIXA ECONOMICA FEDERAL,12
3,00360305,CAIXA ECONOMICA FEDERAL,12
4,00360305,CAIXA ECONOMICA FEDERAL,12
5,00360305,CAIXA ECONOMICA FEDERAL,12
6,00360305,CAIXA ECONOMICA FEDERAL,12
7,00360305,CAIXA ECONOMICA FEDERAL,12
8,00360305,CAIXA ECONOMICA FEDERAL,12
2,33479023,BCO CITIBANK S.A.,1
3,33479023,BCO CITIBANK S.A.,1
4,33479023,BCO CITIBANK S.A.,1
5,33479023,BCO CITIBANK S.A.,1
6,33479023,BCO CITIBANK S.A.,1
7,33479023,BCO CITIBANK S.A.,1
8,33479023,BCO CITIBANK S.A.,1
2,58160789,BCO SAFRA S.A.,1
3,58160789,BCO SAFRA S.A.,1
4,58160789,BCO SAFRA S.A.,1
5,58160789,BCO SAFRA S.A.,1
6,58160789,BCO SAFRA S.A.,1
7,58160789,BCO SAFRA S.A.,1
8,58160789,BCO SAFRA S.A.,1
2,60701190,ITAÚ UNIBANCO S.A.,0
3,60701190,ITAÚ UNIBANCO S.A.,0
4,60701190,ITAÚ UNIBANCO S.A.,0
5,60701190,ITAÚ UNIBANCO S.A.,0
6,60701190,ITAÚ UNIBANCO S.A.,9
7,60701190,ITAÚ UNIBANCO S.A.,9
8,60701190,ITAÚ UNIBANCO S.A.,9
2,60746948,BCO BRADESCO S.A.,9
3,60746948,BCO BRADESCO S.A.,9
4,60746948,BCO BRADESCO S.A.,9
5,60746948,BCO BRADESCO S.A.,9
6,60746948,BCO BRADESCO S.A.,9
7,60746948,BCO BRADESCO S.A.,9
8,60746948,BCO BRADESCO S.A.,9
2,90400888,BCO SANTANDER (BRASIL) S.A.,18
3,90400888,BCO SANTANDER (BRASIL) S.A.,0
4,90400888,BCO SANTANDER (BRASIL) S.A.,0
5,90400888,BCO SANTANDER (BRASIL) S.A.,17
6,90400888,BCO SANTANDER (BRASIL) S.A.,15
7,90400888,BCO SANTANDER (BRASIL) S.A.,15
8,90400888,BCO SANTANDER (BRASIL) S.A.,15
